n_runs,trait,icc,ci_lower,ci_upper
2,pred_extraversion,0.8869051933805576,,
2,pred_agreeableness,0.9351168037204218,,
2,pred_conscientiousness,0.832969550789381,,
2,pred_neuroticism,0.9707241174148684,,
2,pred_openness,0.889315515040576,,
3,pred_extraversion,0.8289527913373237,,
3,pred_agreeableness,0.929813266513896,,
3,pred_conscientiousness,0.8030994443328001,,
3,pred_neuroticism,0.9720263317285185,,
3,pred_openness,0.9092290390742945,,
4,pred_extraversion,0.86675115060533,,
4,pred_agreeableness,0.9326580333590666,,
4,pred_conscientiousness,0.8420506401395426,,
4,pred_neuroticism,0.9773541151467549,,
4,pred_openness,0.9055178879624809,,
5,pred_extraversion,0.8529825121225095,,
5,pred_agreeableness,0.9349616018031313,,
5,pred_conscientiousness,0.8561310870575698,,
5,pred_neuroticism,0.9719272010913049,,
5,pred_openness,0.8932855396520731,,
6,pred_extraversion,0.8316093317796932,,
6,pred_agreeableness,0.9402087921966212,,
6,pred_conscientiousness,0.8295263137561285,,
6,pred_neuroticism,0.9632066236640494,,
6,pred_openness,0.8829987940367081,,
7,pred_extraversion,0.8337323741500761,,
7,pred_agreeableness,0.9422432038399067,,
7,pred_conscientiousness,0.8332229062950128,,
7,pred_neuroticism,0.9641087023519554,,
7,pred_openness,0.8895108787509893,,
8,pred_extraversion,0.8321782464379816,,
8,pred_agreeableness,0.9450630790311874,,
8,pred_conscientiousness,0.8296560837058119,,
8,pred_neuroticism,0.9615753391249989,,
8,pred_openness,0.8906300354227967,,
9,pred_extraversion,0.8283342588756422,,
9,pred_agreeableness,0.9470602402718837,,
9,pred_conscientiousness,0.8395507320176756,,
9,pred_neuroticism,0.9633247517745246,,
9,pred_openness,0.8859727361866159,,
10,pred_extraversion,0.806267435997921,,
10,pred_agreeableness,0.9429123439001365,,
10,pred_conscientiousness,0.8231135236044949,,
10,pred_neuroticism,0.9562372722061978,,
10,pred_openness,0.8852591166444558,,
