,,pearson_mean,pearson_mean,spearman_mean,spearman_mean,mae,mae
,,mean,std,mean,std,mean,std
temperature,reasoning,,,,,,
0.1,cot,0.3608699844907655,0.026488889315599534,0.3720668711859125,0.020994970692333827,0.2126922222222222,0.07656574239119343
0.1,direct,0.3322460428410988,0.02303299413021962,0.37282181050139807,0.024054275555884644,0.20704777777777775,0.08335345755302347
0.1,think,0.31800256645511,0.014969905187125416,0.3486622795277802,0.005275511839946061,0.2136822222222222,0.08322445545644279
0.3,cot,0.3545098241237268,0.02616121108486842,0.3735745567400206,0.01891819171478384,0.22036888888888884,0.0766031566182126
0.3,direct,0.3656692180353876,0.012704166916857343,0.40301276722186163,0.021111832543070943,0.2024516666666666,0.07870768337723233
0.3,think,0.32897097898374983,0.016751736457914015,0.3484362746515321,0.020753192811795294,0.21024999999999996,0.08230952070669487
0.5,cot,0.35292329115879995,0.022331730175513015,0.3607901806460572,0.018816311743017074,0.2197283333333333,0.08035633488091462
0.5,direct,0.34648337763648807,0.01856662512366047,0.38272030377843724,0.02229386639633531,0.20481666666666665,0.07928905162778371
0.5,think,0.33094100768139084,0.020237561193821977,0.3523160103101007,0.030751682320998754,0.21158666666666665,0.08128717724109039
0.7,cot,0.3389993162724677,0.03315190800627927,0.35483129059534874,0.030199208662971547,0.22214888888888884,0.0819144341674645
0.7,direct,0.3524172007110485,0.023880075707972778,0.38704943032829536,0.037608746496298244,0.20920388888888886,0.07963863202082702
0.7,think,0.3193829801188032,0.0247231966984475,0.34261421923308,0.023608587902712547,0.2108183333333333,0.08066230291050824
0.9,cot,0.3526216501792311,0.006446354866930185,0.37109004056524936,0.012725893590429313,0.2165094444444444,0.07851039507574085
0.9,direct,0.3336783141749622,0.023482940079451533,0.35817240645775,0.026190258830022062,0.2071211111111111,0.07906879285118851
0.9,think,0.30750074598662,0.010522838879950439,0.34283091724811715,0.01648655974135794,0.21148388888888886,0.07936920695524445
